Country , Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Togo,TGO,SSA,31,126,1.147705,7,29.11776,32.88224,29.11713,,24.86647,,,34.50329,,,32.41864,26.80635,35.11188,,35.58079
Djibouti,DJI,SSA,30,130,1.711382,5,27.19333,32.80667,26.5125,,24.86647,,,34.50329,,,,28.25316,35.11188,,
Eswatini,SWZ,SSA,30,130,5.899071,3,20.32552,39.67448,,,16.88744,,,34.50329,,,,37.65742,,,
Mauritania,MRT,SSA,30,130,1.653217,6,27.28872,32.71128,26.5125,,32.8455,,,34.50329,,,,22.46592,35.11188,,25.69973
Bolivia,BOL,AME,29,133,2.310445,7,25.21087,32.78913,,,36.83502,37.26319,,34.50329,,,30.32853,28.97656,,15.04257,19.41177
Pakistan,PAK,AP,29,133,2.091568,8,25.56983,32.43017,,,20.87696,19.79276,,34.50329,,,32.41864,19.5723,35.11188,44.85432,24.80145
Papua New Guinea,PNG,AP,29,133,1.757385,6,26.11789,31.88211,,,32.8455,19.79276,,34.50329,,,32.41864,25.35954,26.78049,,
Gabon,GAB,SSA,28,136,2.32452,6,24.18779,31.81221,,,32.8455,37.26319,,34.50329,,,23.70985,18.84889,,,23.00489
Laos,LAO,AP,28,136,2.440356,4,23.99782,32.00218,,,20.87696,,,34.50329,,,,28.97656,26.78049,,
Mali,MLI,SSA,28,136,1.491682,8,25.55364,30.44636,36.77781,,28.85599,,,34.50329,,,32.41864,21.01911,26.78049,29.77308,17.61522
Paraguay,PRY,AME,28,136,1.83682,6,24.98762,31.01238,,,32.8455,37.26319,,22.45197,,,25.10326,23.18933,,,26.598
Cameroon,CMR,SSA,27,140,1.652038,9,24.29066,29.70934,34.17318,,28.85599,19.79276,,34.50329,,,23.70985,14.50846,35.11188,37.3137,17.61522
Guinea,GIN,SSA,26,141,1.69493,7,23.22032,28.77968,26.5125,,32.8455,,,34.50329,,,23.70985,15.95527,26.78049,,22.10661
Kyrgyzstan,KGZ,ECA,26,141,1.689875,7,23.22861,28.77139,,,20.87696,,26.68338,22.45197,,,,20.2957,26.78049,38.89197,24.80145
Russia,RUS,ECA,26,141,1.468127,7,23.59227,28.40773,,,24.86647,19.79276,20.74857,34.50329,,,23.70985,25.35954,,,31.98768
Uganda,UGA,SSA,26,141,1.296407,8,23.87389,28.12611,26.5125,,28.85599,37.26319,,22.45197,,,23.70985,24.63613,26.78049,,17.61522
Liberia,LBR,SSA,25,145,1.639768,7,22.31078,27.68922,34.17318,,24.86647,,,22.45197,,,32.41864,18.12549,26.78049,,19.41177
Madagascar,MDG,SSA,25,145,1.525142,7,22.49877,27.50123,26.5125,,28.85599,,,34.50329,,,23.70985,21.01911,26.78049,,16.71694
Mozambique,MOZ,SSA,25,145,1.905192,8,21.87548,28.12452,13.79579,,24.86647,19.79276,,22.45197,,,39.73402,33.31699,18.44911,,23.90317
Nigeria,NGA,SSA,25,145,1.639001,8,22.31204,27.68796,,,32.8455,19.79276,,22.45197,,,25.97413,12.33825,35.11188,24.86292,23.00489
Bangladesh,BGD,AP,24,149,1.511192,8,21.52164,26.47836,,,20.87696,19.79276,,22.45197,,,33.81205,12.33825,26.78049,29.94845,22.10661
Central African Republic,CAF,SSA,24,149,0.9885881,5,22.37872,25.62128,23.90787,,24.86647,,,22.45197,,,,19.5723,26.78049,,
Iran,IRN,MENA,24,149,2.626714,6,19.69219,28.30781,,,12.89792,19.79276,,34.50329,,,21.61974,22.46592,,,33.78424
Lebanon,LBN,MENA,24,149,1.12472,6,22.15546,25.84454,,,20.87696,19.79276,,22.45197,,,28.76095,23.18933,,,27.49628
Zimbabwe,ZWE,SSA,24,149,1.301722,9,21.86518,26.13482,18.85183,,20.87696,37.26319,,22.45197,,,15.00106,20.2957,26.78049,30.82526,25.69973
Azerbaijan,AZE,ECA,23,154,2.462465,6,18.96156,27.03844,,,28.85599,19.79276,20.74857,34.50329,,,23.70985,11.61484,,,
Guatemala,GTM,AME,23,154,1.362267,7,20.76588,25.23412,,,16.88744,19.79276,,22.45197,,,23.70985,19.5723,,32.40353,25.69973
Honduras,HND,AME,23,154,0.5349705,8,22.12265,23.87735,,,24.86647,19.79276,,22.45197,,,23.70985,23.91273,26.78049,20.12811,23.90317
Iraq,IRQ,MENA,23,154,4.13955,5,16.21114,29.78886,,,36.83502,19.79276,,10.21805,,,32.41864,15.23187,,,
Cambodia,KHM,AP,22,158,2.904808,7,17.23611,26.76389,,,12.89792,19.79276,,34.50329,,39.04852,,13.78506,18.44911,,12.22554
Congo,COG,SSA,22,158,1.471481,7,19.58677,24.41323,,,20.87696,19.79276,,22.45197,,,15.00106,17.40208,26.78049,,31.0894
Guinea-Bissau,GNB,SSA,22,158,2.925183,6,17.2027,26.7973,13.79579,,28.85599,,,22.45197,,,35.37963,19.5723,10.11772,,
Eritrea,ERI,SSA,21,161,4.729734,5,13.24324,28.75676,6.135113,,8.908407,,,34.50329,,,,30.42337,26.78049,,
Afghanistan,AFG,AP,20,162,6.244771,5,9.758576,30.24142,,,24.86647,,,10.21805,,,,46.33829,1.786336,,14.92038
Burundi,BDI,SSA,20,162,1.796819,5,17.05322,22.94678,18.85183,,12.89792,,,22.45197,,,,26.08294,18.44911,,
Chad,TCD,SSA,20,162,2.155059,6,16.4657,23.5343,23.90787,,16.88744,,,22.45197,,,,10.16803,18.44911,30.47454,
Comoros,COM,SSA,20,162,5.512739,4,10.95911,29.04089,3.530485,,,,,34.50329,,,,21.74251,18.44911,,
Democratic Republic of the Congo,COD,SSA,20,162,1.077086,9,18.23358,21.76642,26.5125,,20.87696,19.79276,,22.45197,,,23.70985,10.16803,18.44911,26.44118,13.12382
Myanmar,MMR,AP,20,162,2.293598,7,16.2385,23.7615,,,8.908407,19.79276,,22.45197,,,23.70985,34.0404,10.11772,,22.10661
Sudan,SDN,SSA,20,162,3.126031,8,14.87331,25.12669,18.85183,,8.908407,19.79276,,22.45197,,,6.292267,49.23191,10.11772,,26.598
Tajikistan,TJK,ECA,20,162,0.7774715,5,18.72495,21.27505,,,16.88744,,20.74857,22.45197,,,,19.5723,18.44911,,
